<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:05:00	1.35256	1.35268	1.35241	1.35268	24	0	62
2022.01.03	00:10:00	1.35268	1.35268	1.35238	1.35246	26	0	62
2022.01.03	00:15:00	1.35243	1.35276	1.35215	1.35275	42	0	57
2022.01.03	00:20:00	1.35217	1.35267	1.35217	1.35251	25	0	58
2022.01.03	00:25:00	1.35231	1.35306	1.35231	1.35246	27	0	58
2022.01.03	00:30:00	1.35267	1.35336	1.35237	1.35330	59	0	56
2022.01.03	00:35:00	1.35331	1.35334	1.35237	1.35284	52	0	56
2022.01.03	00:40:00	1.35252	1.35320	1.35252	1.35286	42	0	56
2022.01.03	00:45:00	1.35284	1.35319	1.35266	1.35286	32	0	56
2022.01.03	00:50:00	1.35278	1.35291	1.35265	1.35291	39	0	52
2022.01.03	00:55:00	1.35291	1.35291	1.35278	1.35281	24	0	69
2022.01.03	01:00:00	1.35302	1.35328	1.35262	1.35292	149	0	42
2022.01.03	01:05:00	1.35291	1.35296	1.35261	1.35272	62	0	28
2022.01.03	01:10:00	1.35259	1.35261	1.35250	1.35254	20	0	21
2022.01.03	01:15:00	1.35254	1.35271	1.35238	1.35248	33	0	18
2022.01.03	01:20:00	1.35248	1.35249	1.35222	1.35225	50	0	16
2022.01.03	01:25:00	1.35227	1.35239	1.35224	1.35229	30	0	13
2022.01.03	01:30:00	1.35229	1.35234	1.35221	1.35223	26	0	11
2022.01.03	01:35:00	1.35232	1.35237	1.35218	1.35234	49	0	11
2022.01.03	01:40:00	1.35234	1.35234	1.35222	1.35229	28	0	14
2022.01.03	01:45:00	1.35223	1.35228	1.35196	1.35200	36	0	12
2022.01.03	01:50:00	1.35195	1.35202	1.35194	1.35200	22	0	14
2022.01.03	01:55:00	1.35200	1.35220	1.35195	1.35206	27	0	12
2022.01.03	02:00:00	1.35208	1.35212	1.35202	1.35209	57	0	4
2022.01.03	02:05:00	1.35206	1.35243	1.35205	1.35243	41	0	5
2022.01.03	02:10:00	1.35242	1.35253	1.35213	1.35213	83	0	2
2022.01.03	02:15:00	1.35214	1.35226	1.35212	1.35216	25	0	5
2022.01.03	02:20:00	1.35214	1.35239	1.35213	1.35233	35	0	6
2022.01.03	02:25:00	1.35233	1.35239	1.35220	1.35233	65	0	6
2022.01.03	02:30:00	1.35234	1.35244	1.35212	1.35218	79	0	1
2022.01.03	02:35:00	1.35218	1.35241	1.35217	1.35235	48	0	6
2022.01.03	02:40:00	1.35236	1.35248	1.35231	1.35242	37	0	6
2022.01.03	02:45:00	1.35242	1.35242	1.35220	1.35223	46	0	1
2022.01.03	02:50:00	1.35220	1.35226	1.35182	1.35195	101	0	0
2022.01.03	02:55:00	1.35195	1.35203	1.35165	1.35167	66	0	1
2022.01.03	03:00:00	1.35167	1.35183	1.35155	1.35181	88	0	2
2022.01.03	03:05:00	1.35191	1.35229	1.35189	1.35226	88	0	4
2022.01.03	03:10:00	1.35226	1.35241	1.35217	1.35236	81	0	4
2022.01.03	03:15:00	1.35237	1.35279	1.35224	1.35275	133	0	2
2022.01.03	03:20:00	1.35271	1.35295	1.35269	1.35294	34	0	6
2022.01.03	03:25:00	1.35295	1.35295	1.35256	1.35256	44	0	2
2022.01.03	03:30:00	1.35256	1.35256	1.35231	1.35244	102	0	1
2022.01.03	03:35:00	1.35245	1.35247	1.35199	1.35216	58	0	4
2022.01.03	03:40:00	1.35216	1.35216	1.35149	1.35197	178	0	2
2022.01.03	03:45:00	1.35196	1.35196	1.35152	1.35161	211	0	3
2022.01.03	03:50:00	1.35159	1.35194	1.35158	1.35185	290	0	1
2022.01.03	03:55:00	1.35187	1.35197	1.35162	1.35179	230	0	2
2022.01.03	04:00:00	1.35180	1.35180	1.35150	1.35150	118	0	0
2022.01.03	04:05:00	1.35150	1.35150	1.35062	1.35062	114	0	6
2022.01.03	04:10:00	1.35062	1.35129	1.35062	1.35113	120	0	2
2022.01.03	04:15:00	1.35113	1.35127	1.35109	1.35126	81	0	3
2022.01.03	04:20:00	1.35127	1.35129	1.35108	1.35121	69	0	3
2022.01.03	04:25:00	1.35121	1.35121	1.35101	1.35102	67	0	3
2022.01.03	04:30:00	1.35101	1.35108	1.35093	1.35094	59	0	5
2022.01.03	04:35:00	1.35095	1.35101	1.35053	1.35055	80	0	3
2022.01.03	04:40:00	1.35058	1.35109	1.35058	1.35109	59	0	5
2022.01.03	04:45:00	1.35108	1.35118	1.35047	1.35050	66	0	2
2022.01.03	04:50:00	1.35043	1.35050	1.35035	1.35039	45	0	3
2022.01.03	04:55:00	1.35039	1.35043	1.35035	1.35042	36	0	5
2022.01.03	05:00:00	1.35043	1.35050	1.35038	1.35043	29	0	6
2022.01.03	05:05:00	1.35043	1.35063	1.35038	1.35042	35	0	4
2022.01.03	05:10:00	1.35041	1.35043	1.35031	1.35031	30	0	4
2022.01.03	05:15:00	1.35031	1.35031	1.34981	1.34990	51	0	4
2022.01.03	05:20:00	1.34990	1.34996	1.34981	1.34982	67	0	3
2022.01.03	05:25:00	1.34981	1.34992	1.34980	1.34988	46	0	3
2022.01.03	05:30:00	1.34994	1.34997	1.34966	1.34967	69	0	3
2022.01.03	05:35:00	1.34967	1.34967	1.34946	1.34957	55	0	3
2022.01.03	05:40:00	1.34957	1.34986	1.34957	1.34984	89	0	1
2022.01.03	05:45:00	1.34983	1.35005	1.34972	1.35004	85	0	1
2022.01.03	05:50:00	1.35009	1.35016	1.34999	1.35001	134	0	0
2022.01.03	05:55:00	1.35000	1.35009	1.34988	1.34989	80	0	4
2022.01.03	06:00:00	1.34989	1.35004	1.34962	1.35002	79	0	1
2022.01.03	06:05:00	1.35001	1.35043	1.35001	1.35041	65	0	4
2022.01.03	06:10:00	1.35041	1.35043	1.35036	1.35041	28	0	6
2022.01.03	06:15:00	1.35042	1.35053	1.35042	1.35051	20	0	6
2022.01.03	06:20:00	1.35051	1.35052	1.35037	1.35041	26	0	6
